ChildIndividualID,FatherIndividualID,LeadingFather,FatherReported,FatherEdgeEvidenceClass,TierAParent,TierBOrBetterParent,ParentBootstrapFraction,ParentVariantFraction,ParentLeaveOneChromosomeFraction,ParentAlternatives95,EvidenceTier,ParentCountMAPState,OneParentStateBootstrapFraction,OneParentStateLeaveOneChromosomeFraction,OneParentStatePriorFraction,ForcedCompletionApplied,Interpretation
fAulAsc159,0,fAulAsc52,False,,False,False,0.3285,1.0,0.9090909090909092,fAulAsc52:0.329;fAulAsc6:0.248;fAulAsc14:0.116;fAulAsc59:0.088;fAulAsc11:0.075;fAulAsc64:0.072;fAulAsc10:0.031,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc170,0,fAulAsc106,False,,False,False,0.15725,1.0,0.9545454545454546,fAulAsc38:0.195;fAulAsc128:0.168;fAulAsc106:0.157;fAulAsc86:0.148;fAulAsc29:0.117;fAulAsc11:0.102;fAulAsc3:0.052;fAulAsc10:0.022,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc181,0,fAulAsc52,False,,False,False,0.14275,1.0,0.7272727272727273,fAulAsc19:0.247;fAulAsc27:0.188;fAulAsc52:0.143;fAulAsc47:0.142;fAulAsc126:0.115;fAulAsc106:0.048;fAulAsc44:0.028;fAulAsc124:0.017;fAulAsc53:0.015;fAulAsc11:0.013,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc192,0,fAulAsc9,False,,False,False,0.289,0.1428571428571428,0.9090909090909092,fAulAsc9:0.289;fAulAsc94:0.197;fAulAsc86:0.109;fAulAsc56:0.100;fAulAsc34:0.059;fAulAsc79:0.057;fAulAsc87:0.045;fAulAsc149:0.034;fAulAsc123:0.023;fAulAsc128:0.018;fAulAsc148:0.017;fAulAsc126:0.015,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc203,fAulAsc78,fAulAsc78,True,Tier_B_additional_identity,False,True,0.78325,1.0,1.0,fAulAsc78:0.783;fAulAsc85:0.157;fAulAsc123:0.053,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc214,fAulAsc78,fAulAsc78,True,Tier_B_additional_identity,False,True,0.7525,1.0,1.0,fAulAsc78:0.752;fAulAsc28:0.172;fAulAsc25:0.068,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc225,fAulAsc32,fAulAsc32,True,Tier_B_additional_identity,False,True,0.58175,1.0,1.0,fAulAsc32:0.582;fAulAsc9:0.107;fAulAsc21:0.079;fAulAsc56:0.057;fAulAsc28:0.057;fAulAsc6:0.045;fAulAsc45:0.027,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc235,fAulAsc38,fAulAsc38,True,Tier_A_strict_identity,True,True,0.972,1.0,1.0,fAulAsc38:0.972,A_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc162,0,fAulAsc106,False,,False,False,0.47575,1.0,1.0,fAulAsc106:0.476;fAulAsc19:0.160;fAulAsc128:0.151;fAulAsc11:0.070;fAulAsc29:0.040;fAulAsc9:0.033;fAulAsc6:0.032,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc173,0,fAulAsc37,False,,False,False,0.32475,0.1428571428571428,0.8636363636363636,fAulAsc37:0.325;fAulAsc52:0.221;fAulAsc106:0.155;fAulAsc26:0.097;fAulAsc126:0.062;fAulAsc6:0.048;fAulAsc11:0.035;fAulAsc105:0.027,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc184,fAulAsc106,fAulAsc106,True,Tier_B_additional_identity,False,True,0.741,1.0,1.0,fAulAsc106:0.741;fAulAsc22:0.168;fAulAsc11:0.066,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc195,0,fAulAsc34,False,,False,False,0.246,0.1428571428571428,0.7272727272727273,fAulAsc34:0.246;fAulAsc127:0.183;fAulAsc76:0.145;fAulAsc23:0.093;fAulAsc82:0.085;fAulAsc60:0.064;fAulAsc21:0.053;fAulAsc12:0.031;fAulAsc54:0.025;fAulAsc10:0.018;fAulAsc86:0.009,C_complete_working_hypothesis,one_observed_parent,0.99875,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc206,fAulAsc52,fAulAsc52,True,Tier_B_additional_identity,False,True,0.51925,1.0,1.0,fAulAsc52:0.519;fAulAsc141:0.153;fAulAsc10:0.126;fAulAsc62:0.123;fAulAsc126:0.024;fAulAsc54:0.016,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc217,fAulAsc103,fAulAsc103,True,Tier_B_additional_identity,False,True,0.62725,1.0,1.0,fAulAsc103:0.627;fAulAsc56:0.104;fAulAsc29:0.100;fAulAsc85:0.060;fAulAsc77:0.050;fAulAsc81:0.028,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc227,fAulAsc106,fAulAsc106,True,Tier_B_additional_identity,False,True,0.6765,1.0,1.0,fAulAsc106:0.676;fAulAsc38:0.118;fAulAsc3:0.067;fAulAsc11:0.067;fAulAsc62:0.035,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
