ChildIndividualID,FatherIndividualID,MotherIndividualID,LeadingFather,LeadingMother,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,EvidenceTier,ParentCountMAPState,DesignGuaranteeApplied,ForcedCompletionApplied
fAulAsc45,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,0.96925,0.975,0.9805,1.0,1.0,fAulAsc151+fAulAsc153:0.969,A_exact_pair,father_only,False,False
fAulAsc46,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.59125,0.7915000000000001,0.7005,1.0,1.0,fAulAsc158+fAulAsc154:0.591;fAulAsc158+fAulAsc153:0.200;fAulAsc157+fAulAsc154:0.109;fAulAsc157+fAulAsc153:0.099,B_exact_pair,zero_parent,False,False
fAulAsc47,fAulAsc158,0,fAulAsc158,fAulAsc154,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,0.6405,0.85,0.6819999999999999,0.1428571428571428,1.0,fAulAsc158+fAulAsc154:0.640;fAulAsc158+fAulAsc153:0.209;fAulAsc157+fAulAsc153:0.108,B_one_parent_identity,zero_parent,False,False
fAulAsc48,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.8475,0.85775,0.90025,1.0,1.0,fAulAsc158+fAulAsc154:0.848;fAulAsc157+fAulAsc153:0.088;fAulAsc157+fAulAsc154:0.053,B_exact_pair,zero_parent,False,False
fAulAsc49,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.779,0.9435,0.8355,1.0,1.0,fAulAsc151+fAulAsc153:0.779;fAulAsc151+fAulAsc154:0.165;fAulAsc152+fAulAsc153:0.041,B_exact_pair,zero_parent,False,False
fAulAsc50,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,0.705,0.71875,0.9825,1.0,1.0,fAulAsc158+fAulAsc154:0.705;fAulAsc157+fAulAsc154:0.278,B_exact_pair,zero_parent,False,False
fAulAsc51,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.837,0.97325,0.858,1.0,1.0,fAulAsc157+fAulAsc154:0.837;fAulAsc157+fAulAsc153:0.136,B_exact_pair,father_only,False,False
fAulAsc52,fAulAsc157,fAulAsc153,fAulAsc157,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.80675,0.88325,0.85675,1.0,1.0,fAulAsc157+fAulAsc153:0.807;fAulAsc157+fAulAsc154:0.076;fAulAsc158+fAulAsc154:0.065;fAulAsc158+fAulAsc153:0.050,B_exact_pair,father_only,False,False
fAulAsc53,0,0,fAulAsc157,fAulAsc153,0,,,False,False,observed_parent_identities_unresolved,0.35375,0.41575,0.642,1.0,0.7272727272727273,fAulAsc157+fAulAsc153:0.354;fAulAsc158+fAulAsc154:0.294;fAulAsc158+fAulAsc153:0.287;fAulAsc157+fAulAsc154:0.062,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc54,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.92725,0.9725,0.93275,1.0,1.0,fAulAsc151+fAulAsc154:0.927;fAulAsc151+fAulAsc153:0.045,B_exact_pair,father_only,False,False
fAulAsc55,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.5785,0.791,0.57875,1.0,1.0,fAulAsc158+fAulAsc153:0.579;fAulAsc158+fAulAsc154:0.212;fAulAsc157+fAulAsc154:0.208,B_exact_pair,zero_parent,False,False
fAulAsc56,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.59475,0.88325,0.6045,1.0,1.0,fAulAsc151+fAulAsc153:0.595;fAulAsc151+fAulAsc154:0.288;fAulAsc152+fAulAsc154:0.105,B_exact_pair,father_only,False,False
fAulAsc57,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.7105,0.94675,0.727,1.0,1.0,fAulAsc158+fAulAsc153:0.711;fAulAsc158+fAulAsc154:0.236;fAulAsc157+fAulAsc154:0.037,B_exact_pair,zero_parent,False,False
