,block_idx,total_crossovers,unique_switch_types,dominant_switch,dominant_count,diversity_ratio
217,231,5,4,"(1, 2) -> (2, 2)",2,0.8
214,228,5,4,"(0, 2) -> (0, 1)",2,0.8
233,249,5,5,"(0, 4) -> (0, 8)",1,1.0
341,360,5,4,"(2, 4) -> (2, 3)",2,0.8
342,361,5,5,"(2, 3) -> (1, 3)",1,1.0
400,425,5,3,"(0, 1) -> (0, 0)",2,0.6
208,222,5,3,"(1, 1) -> (0, 1)",2,0.6
179,193,5,5,"(2, 3) -> (0, 3)",1,1.0
183,197,5,4,"(0, 1) -> (0, 3)",2,0.8
265,281,5,4,"(2, 2) -> (0, 2)",2,0.8
145,158,5,3,"(2, 3) -> (2, 2)",3,0.6
189,203,5,5,"(0, 2) -> (2, 2)",1,1.0
201,215,5,4,"(0, 3) -> (0, 2)",2,0.8
172,186,5,4,"(0, 2) -> (0, 1)",2,0.8
186,200,5,5,"(3, 3) -> (1, 3)",1,1.0
112,124,5,4,"(0, 2) -> (0, 0)",2,0.8
160,174,5,4,"(2, 3) -> (1, 2)",2,0.8
154,167,5,5,"(0, 0) -> (0, 4)",1,1.0
27,28,5,4,"(1, 1) -> (1, 2)",2,0.8
38,39,5,5,"(0, 0) -> (0, 2)",1,1.0
379,402,5,3,"(0, 0) -> (0, 2)",2,0.6
137,150,5,4,"(1, 2) -> (1, 1)",2,0.8
136,149,5,4,"(1, 4) -> (1, 1)",2,0.8
134,147,5,4,"(2, 3) -> (3, 3)",2,0.8
141,154,5,4,"(0, 0) -> (0, 1)",2,0.8
365,386,5,5,"(2, 3) -> (0, 3)",1,1.0
285,301,5,4,"(0, 4) -> (4, 4)",2,0.8
65,68,5,5,"(0, 0) -> (0, 3)",1,1.0
64,67,5,4,"(2, 3) -> (0, 3)",2,0.8
46,47,5,5,"(3, 3) -> (2, 3)",1,1.0
315,332,5,5,"(1, 4) -> (1, 1)",1,1.0
326,344,5,5,"(1, 3) -> (1, 1)",1,1.0
138,151,5,5,"(2, 3) -> (1, 3)",1,1.0
244,260,5,5,"(3, 4) -> (2, 4)",1,1.0
