Sample_Index,Generation,Approx_Position,Sample_ID
85,F2,17508519.383031815,F2_75
86,F2,4440959.088583905,F2_76
86,F2,18333681.054897066,F2_76
86,F2,18633739.84466625,F2_76
87,F1,915268.3087960074,F2_77
88,F3,6091282.43231441,F2_78
88,F3,7861629.291952589,F2_78
88,F3,17028425.319401123,F2_78
89,F2,17193457.653774172,F2_79
89,F2,19068825.089831565,F2_79
89,F2,19668942.669369932,F2_79
90,F3,2880653.3817841546,F2_80
90,F3,8461746.871490953,F2_80
90,F3,10007049.638802245,F2_80
90,F3,14177866.816593885,F2_80
90,F3,15573140.189020585,F2_80
91,F3,1410365.311915159,F2_81
91,F3,4440959.088583905,F2_81
91,F3,18723757.481597006,F2_81
92,F3,120112.5159076731,F2_82
92,F3,1155315.3406113537,F2_82
92,F3,5161100.184029943,F2_82
92,F3,17568531.140985653,F2_82
93,F3,5506167.792264503,F2_83
93,F3,6541370.616968185,F2_83
93,F3,8101676.323767935,F2_83
93,F3,8386732.174048658,F2_83
93,F3,9136879.148471614,F2_83
93,F3,12527543.47286338,F2_83
93,F3,16758372.408608858,F2_83
93,F3,17748566.41484716,F2_83
93,F3,18723757.481597006,F2_83
95,F3,2310541.6812227075,F2_85
95,F3,7381535.228321896,F2_85
95,F3,9481946.756706176,F2_85
95,F3,10892223.068621334,F2_85
95,F3,11597361.224578913,F2_85
95,F3,11642370.043044291,F2_85
95,F3,11657372.98253275,F2_85
95,F3,12992634.597005613,F2_85
95,F3,13442722.781659387,F2_85
95,F3,17508519.383031815,F2_85
95,F3,20344074.946350593,F2_85
95,F3,22324462.958827198,F2_85
96,F3,1155315.3406113537,F2_86
96,F3,1485380.0093574547,F2_86
96,F3,3960865.0249532126,F2_86
96,F3,5161100.184029943,F2_86
96,F3,18558725.147223953,F2_86
97,F3,10007049.638802245,F2_87
97,F3,14642957.940736119,F2_87
97,F3,19578925.032439176,F2_87
97,F3,21139230.739238925,F2_87
98,F3,4440959.088583905,F2_88
98,F3,5461158.973799126,F2_88
98,F3,9481946.756706176,F2_88
98,F3,10892223.068621334,F2_88
98,F3,11597361.224578913,F2_88
98,F3,11642370.043044291,F2_88
98,F3,11657372.98253275,F2_88
98,F3,12992634.597005613,F2_88
98,F3,13442722.781659387,F2_88
98,F3,13967825.663755458,F2_88
98,F3,21379277.77105427,F2_88
99,F3,15648154.886462882,F2_89
99,F3,19293869.18215845,F2_89
100,F2,12527543.47286338,F2_90
100,F2,16758372.408608858,F2_90
100,F2,17748566.41484716,F2_90
100,F2,19053822.150343105,F2_90
100,F2,23614715.754834685,F2_90
101,F3,5446156.034310667,F2_91
101,F3,10007049.638802245,F2_91
101,F3,14477925.60636307,F2_91
101,F3,17508519.383031815,F2_91
101,F3,19668942.669369932,F2_91
101,F3,22324462.958827198,F2_91
101,F3,22774551.14348097,F2_91
102,F2,8461746.871490953,F2_92
102,F2,10007049.638802245,F2_92
102,F2,10757196.613225203,F2_92
102,F2,21889377.713661883,F2_92
103,F3,8101676.323767935,F2_93
103,F3,8386732.174048658,F2_93
103,F3,12857608.141609482,F2_93
104,F3,8101676.323767935,F2_94
104,F3,8386732.174048658,F2_94
104,F3,10802205.43169058,F2_94
104,F3,13892810.966313163,F2_94
104,F3,17508519.383031815,F2_94
105,F3,120112.5159076731,F2_95
105,F3,15648154.886462882,F2_95
105,F3,18723757.481597006,F2_95
105,F3,20404086.704304427,F2_95
105,F3,22984592.2963194,F2_95
106,F3,1155315.3406113537,F2_96
106,F3,4696009.05988771,F2_96
106,F3,5161100.184029943,F2_96
106,F3,7006461.741110418,F2_96
106,F3,10022052.578290705,F2_96
107,F2,120112.5159076731,F2_97
107,F2,2865650.4422956957,F2_97
107,F2,18363686.933873985,F2_97
107,F2,18723757.481597006,F2_97
107,F2,23134621.691203993,F2_97
108,F3,4440959.088583905,F2_98
108,F3,4605991.422956956,F2_98
108,F3,17508519.383031815,F2_98
108,F3,18723757.481597006,F2_98
108,F3,22774551.14348097,F2_98
109,F2,18018619.325639427,F2_99
109,F2,18723757.481597006,F2_99
109,F2,22249448.2613849,F2_99
110,F3,1440371.1908920773,F3_0
110,F3,4801029.636306925,F3_0
110,F3,6196303.008733625,F3_0
110,F3,15828190.160324391,F3_0
111,F2,5221111.94198378,F3_1
111,F2,5341135.457891453,F3_1
111,F2,6931447.043668122,F3_1
111,F2,8296714.537117903,F3_1
111,F2,18723757.481597006,F3_1
112,F3,2670612.2289457265,F3_2
112,F3,5686203.066126013,F3_2
112,F3,8431740.992514037,F3_2
112,F3,16848390.045539614,F3_2
112,F3,18453704.57080474,F3_2
112,F3,21454292.46849657,F3_2
112,F3,23104615.812227074,F3_2
113,F3,1965474.0729881471,F3_3
113,F3,8656785.084840924,F3_3
113,F3,12527543.47286338,F3_3
113,F3,13892810.966313163,F3_3
113,F3,16758372.408608858,F3_3
113,F3,17748566.41484716,F3_3
113,F3,18648742.78415471,F3_3
114,F3,14207872.695570804,F3_4
114,F3,16743369.469120398,F3_4
114,F3,18723757.481597006,F3_4
114,F3,20404086.704304427,F3_4
115,F3,7381535.228321896,F3_5
115,F3,10007049.638802245,F3_5
115,F3,10307108.428571427,F3_5
115,F3,16143251.889582032,F3_5
115,F3,17508519.383031815,F3_5
115,F3,18768766.30006238,F3_5
115,F3,23989789.242046162,F3_5
116,F3,675221.2769806612,F3_6
116,F3,7996655.747348721,F3_6
116,F3,8806814.479725514,F3_6
116,F3,8926837.995633187,F3_6
116,F3,9286908.543356206,F3_6
116,F3,9376926.18028696,F3_6
116,F3,18153645.781035557,F3_6
116,F3,18453704.57080474,F3_6
116,F3,21334268.952588893,F3_6
117,F2,420171.30567685585,F3_7
117,F2,6406344.161572052,F3_7
117,F2,18318678.115408607,F3_7
117,F2,21439289.52900811,F3_7
117,F2,23839759.847161572,F3_7
118,F2,2310541.6812227075,F3_8
118,F2,4500970.846537742,F3_8
118,F2,4831035.515283843,F3_8
118,F2,22354468.837804116,F3_8
119,F3,120112.5159076731,F3_9
119,F3,3150706.292576419,F3_9
119,F3,10007049.638802245,F3_9
