ChildIndividualID,FatherIndividualID,MotherIndividualID,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,EvidenceStatus,EvidenceTier,ParentCountMAPState,ParentCountStable,ForcedCompletionApplied,ForcedCompletionCaveat
fTroAst27,fTroAst11,fTroAst19,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst28,0,fTroAst12,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst29,fTroAst55,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst30,fTroAst43,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst33,fTroAst49,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst34,fTroAst11,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst35,fTroAst18,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst36,0,fTroAst12,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst39,0,fTroAst12,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,U_parent_count_or_identity_unresolved,B_one_parent_identity,mother_only,False,False,
fTroAst40,0,fTroAst38,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst41,fTroAst11,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst42,fTroAst18,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst45,fTroAst18,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst46,0,0,0,,,False,False,unresolved,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst47,fTroAst43,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst48,0,0,0,,,False,False,unresolved,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst51,fTroAst18,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst52,fTroAst25,fTroAst12,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst53,fTroAst11,fTroAst19,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst54,fTroAst18,fTroAst38,2,Tier_B_additional_identity,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,B_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst57,0,fTroAst56,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,A_mother_only_state_and_identity_stable,A_one_parent_identity,mother_only,True,False,
fTroAst58,0,fTroAst26,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,A_mother_only_state_and_identity_stable,A_one_parent_identity,mother_only,True,False,
fTroAst59,0,0,0,,,False,False,unresolved,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst60,0,fTroAst12,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst61,fTroAst43,fTroAst12,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst62,fTroAst37,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst63,fTroAst25,0,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst64,0,0,0,,,False,False,unresolved,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst65,fTroAst43,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst66,0,0,0,,,False,False,unresolved,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst67,fTroAst11,0,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst68,0,fTroAst56,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst69,fTroAst18,0,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst70,fTroAst43,fTroAst38,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,U_parent_count_or_identity_unresolved,B_exact_pair,two_parent,False,False,
fTroAst71,fTroAst43,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst72,0,fTroAst12,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst73,0,0,0,,,False,False,unresolved,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst74,fTroAst11,0,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst75,0,0,0,,,False,False,unresolved,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst76,fTroAst18,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst77,fTroAst37,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
