IndividualID,ProjectEntityID,SequencingSampleID,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex
fAulAsc240,2021cicX13178951,2021cicX13178951,AA188,sequenced_individual,F3,F3,M
fAulAsc166,2021cicX13178952,2021cicX13178952,AA189,sequenced_individual,F3,F3,M
fAulAsc177,2021cicX13178953,2021cicX13178953,AA190,sequenced_individual,F2,F2,M
fAulAsc188,2021cicX13178954,2021cicX13178954,AA191,sequenced_individual,F2,F2,M
fAulAsc199,2021cicX13178955,2021cicX13178955,AA192,sequenced_individual,F2,F2,M
fAulAsc210,2021cicX13178956,2021cicX13178956,AA193,sequenced_individual,F2,F2,M
fAulAsc221,2021cicX13178957,2021cicX13178957,AA194,sequenced_individual,F3,F3,M
fAulAsc231,2021cicX13178958,2021cicX13178958,AA195,sequenced_individual,F3,F3,M
fAulAsc241,2021cicX13178959,2021cicX13178959,AA196,sequenced_individual,F3,F3,M
fAulAsc167,2021cicX13178960,2021cicX13178960,AA197,sequenced_individual,F3,F3,M
fAulAsc178,2021cicX13178961,2021cicX13178961,AA198,sequenced_individual,F3,F3,M
fAulAsc189,2021cicX13178962,2021cicX13178962,AA199,sequenced_individual,F3,F3,M
fAulAsc200,2021cicX13178963,2021cicX13178963,AA200,sequenced_individual,F3,F3,M
fAulAsc211,2021cicX13178964,2021cicX13178964,AA201,sequenced_individual,F3,F3,M
fAulAsc222,2021cicX13178965,2021cicX13178965,AA202,sequenced_individual,F3,F3,M
fAulAsc232,2021cicX13178966,2021cicX13178966,AA203,sequenced_individual,F3,F3,M
fAulAsc242,2021cicX13178967,2021cicX13178967,AA204,sequenced_individual,F3,F3,M
fAulAsc168,2021cicX13178968,2021cicX13178968,AA205,sequenced_individual,F3,F3,M
fAulAsc179,2021cicX13178969,2021cicX13178969,AA206,sequenced_individual,F3,F3,M
fAulAsc190,2021cicX13178970,2021cicX13178970,AA207,sequenced_individual,F3,F3,M
fAulAsc201,2021cicX13178971,2021cicX13178971,AA208,sequenced_individual,F3,F3,M
